Q16534853	CK Fleisch
Q55559961	Elafruits
Q5357813	Electricity and Gas Regulation Commission
Q23058451	Rheinmetall Algeria
Q23688116	EGA
Q25395140	Sider
Q30765878	Ferrovial
Q65063173	ADA
Q94696188	Alphyt
Q98755978	Tala
Q3486878	Smart Link Communication
Q25383078	Société nationale de sidérurgie
Q88975968	Parfums Wouroud
Q98309140	Sorfert Algeria
Q30261983	NEAL (ALGERIA)
Q677832	Sonangol Group
Q7893680	Unitel Angola
Q399633	ANGOP
Q806172	Banco Angolano de Investimentos
Q1340457	Endiama
Q2849714	Angola Telecom
Q5172832	Correios de Angola
Q11862794	ENANA
Q3273199	MSTelcom
Q6926807	Movicel
Q8062941	ZAP
Q4689752	African Diamond Producers Association
Q10372824	Sociedade de Desenvolvimento Mineiro
Q51095581	Banco Nacional Ultramarino, Luanda
Q4352110	Vodafone Ghana
Q3104763	Ghana Broadcasting Corporation
Q3104764	Ghana National Petroleum Corporation
Q19978405	Kantanka cars
Q6973844	National Investment Bank
Q7600608	Star Africa Commodities & Minerals Limited
Q7940708	Volta Aluminum Company
Q1521346	GCB Bank Limited
Q2532874	Volta River Authority
Q4034655	Ayrton Drugs
Q4035559	CAL Bank
Q4039966	Republic Bank Ghana Limited
Q5555383	Ghana Oil Company
Q7885207	Unilever Ghana
Q7408353	Sam Woode Limited
Q4033842	Aluworks
Q4689720	African Champion Industries
Q7196717	Pioneer Kitchenware
Q4035427	British American Tobacco Ghana
Q5579954	Golden Web
Q5616580	Guinness Ghana Breweries
Q19600548	Blu Telecommunications
Q19604603	Universal Merchant Bank
Q19978283	Ghana Water Company
Q21015670	Deng
Q25052686	Ghana National Gas Company
Q55635854	Tiger Eye P. I.
Q4739179	AmalBank
Q5010418	CFAO Ghana
Q5137088	Clydestone Ghana
Q5333155	Ecobank Ghana
Q5380322	Enterprise Insurance
Q5446778	Fidelity Bank Ghana
Q6804495	Mechanical Lloyd
Q7121248	PZ Cussons Ghana
Q7245305	Printex Ghana
Q7598195	Standard Chartered Ghana
Q7602658	Starwin Products
Q7645819	Suretrack Contracts Services
Q7770571	The Trust Bank
Q7834743	Transol Solutions Ghana
Q7876063	UT Bank
Q16733516	Capital Bank
Q16734183	Total Petroleum Ghana
Q5025939	Camelot Ghana
Q7247681	Produce Buying Company
Q7339174	Rlg Communications
Q7390288	SIC Insurance Company
Q30262104	Zoomlion Domestic Services (Ghana)
Q66087901	Augson Global
Q96145850	Suku Technologies
Q30261685	Bomarts Farms (Ghana)
Q490028	Dar es Salaam Stock Exchange
Q7682774	Tanga Cement
Q4050564	TANESCO
Q7857932	Twiga Cement
Q18387939	Tanzania Breweries Limited
Q6764219	Marine Services Company Limited
Q4686400	Advans Bank Tanzania
Q4700874	Akiba Commercial Bank
Q4832231	Azania Bank
Q4859971	Barclays Bank Tanzania
Q5013848	CRDB Bank
